label,message
2.1,不願意去學校逃避現實沒有理想心裡總是很低落很想哭這是憂鬱症嗎
2.1,不願跟陌生人交流    自我感覺有點自閉了  很膽怯這個社會
2.1,中度憂鬱症四個月不想吃藥可以通過心裡諮詢治療嗎
2.1,中度憂鬱情緒易激動 我該如何調整自己
2.1,之前只發現全世界不喜歡我我也不喜歡自己喜歡自虐現在發現我還喜歡一個自言自語
2.1,之前我和她一直很相愛現在她總對我說看不到未來沒有安全感到分手我依舊對他依依不捨我也做過很多次自殘想著曾經在一起的美好日子捨不得幾乎天天在想我是不是很壓抑
2.1,什麼事都愛藏心裡總覺得心裡壓著好多好多話卻不知如何表達不知從何說起不知不覺就會覺得難受心裡不開心的事老在不經意間直戳我痛處真不知道怎麼說
2.1,什麼情況下需要看心理醫生感覺自己一直過得很壓抑不快樂也能找到不幸福的原因但找不到解決問題的方法
2.1,什麼都不想做感覺生活的非常沒有意思沒有目標沒有願望沒有理想沒有追求我是怎麼了
2.1,什麼都不想做覺得這個社會很讓人厭煩不想與人交談或產生聯繫但是當自己一個人的時候又覺得這樣做毫無意義感受不到別人或自己的真心
2.1,今年是屬相年不知道為什麼心情非常不好老發脾氣對老公發脾氣非常厲害現在懷2寶了心情一點都沒有好起來
2.1,今年高三時常鬱鬱寡歡無法平復自己的情緒也不懂得怎麼和別人交往現在很難受
2.1,內心自卑孤獨恐懼不自信什麼事情都與我無關
2.1,內心沒有力量無精打采的渾身軟綿綿的也笑不出來連笑的力氣都沒有怎麼回事看見誰都不想理的
2.1,天天心煩唉聲嘆氣不知道做什麼睡不著覺還總想躺著什麼也不想幹
2.1,天天生氣心情不好不和人交流天天煩憂鬱
2.1,天生內八字  感覺對生活失去了活力 要賺錢治病 要賺錢考駕照 要賺錢養家 好累好累
2.1,心太累放鬆不了失去了對一切的興趣我該怎麼找回曾經的生活
2.1,心情一不好就拒絕和任何人講話不愛開口甚至不願意吃飯明明很餓如果沒人開導可能接下來幾天心情都不好為什麼
2.1,心情大多時候都不好測試出重度憂鬱症怎麼辦要看醫生嗎
2.1,心情不好 憂鬱了很久 做任何事都沒有心情 不知道為什麼活著 覺得活著沒有意義
2.1,心情不好失眠睡不著沒有食慾覺得世界都背叛了我不相信任何人不知道該怎麼辦還不如死了好
2.1,心情不好夜裡難以入睡入睡後容易被吵醒白天沒有精神記憶力衰退有的時候對很多東西都失去興趣總想一個人待著不喜歡被打擾持續時間一年多了
2.1,心情不好經常會想死覺得什麼都沒意義經常會覺得難受的哭和父母說話就焦躁
2.1,心情低落 對未來看不到希望 和老公分居三年 該不該離婚
2.1,心情很壓抑很憂鬱如何排解才好晚上失眠睡不著
2.1,心情焦躁鬱悶記憶力衰退去醫院檢查腦電波比常人高很多
2.1,心情憂鬱每天都感到心累無法集中精力做事心力交瘁
2.1,心情壓抑感覺壓力很大工作注意力分散早醒中午睡不著有想死的時候婚姻戀愛問題嚴重就算有人喜歡我我也會因為想太多然後拒絕我還有救嗎
2.1,心理自卑 焦慮  潔癖 嫉妒 憤青心理 強迫症 工作生活壓力大 常常抱怨 有點心理扭曲
2.1,心理問題感覺自己有病心裡很糾結鬱鬱寡歡
2.1,心理問題總是感覺心裡壓抑敏感脆弱愛哭
2.1,心理測試出來有嚴重憂鬱症該怎麼辦呢應該怎麼治療這段時間心情很低落
2.1,心理諮詢我覺得現在很壓鬱每天都會嘆氣我覺得我的生活充滿了壓力然後自己也變得不開心這樣下去我怕我會瘋了
2.1,心煩心亂渾身沒勁每天很累還咳嗽找不到自己
2.1,心煩心煩心煩心煩想死非常想非常非常想死突然感覺很強烈
2.1,心煩意亂很睏可是睡不著很痛苦最近精神恍恍惚惚
2.1,心裡不舒服不想做事心裡很累並且天天不出門每次出門總感覺有人跟蹤到了晚上會一個人偷偷的哭
2.1,心裡老不安愛發火莫名的心裡難受老感覺委屈什麼事都懶的去改變可心裡想去改變有點事就不停的嘮叨越說越傷心越說越生氣後甚至和老公打架但老公不聽甚至變本加厲
2.1,心裡自卑 總是拖延   對生活沒有希望    自我評價低    甚至想過死
2.1,心裡自卑有點憂鬱的傾向有過自殘想過死也覺得自己不好很多餘
2.1,心裡每天都難受不知道想什麼要什麼天天在痛苦中做過的選擇經常後悔
2.1,心裡沉重被家長或者老師罵感覺人很痛苦沒有精力感到孤獨寂寞
2.1,心裡沒有安全感 容易發脾氣 對身邊的事有太多的抱怨 心情總是很壓抑 總想大哭一場 什麼工作都不喜歡做 感覺自己好像有點自閉
2.1,心裡委屈又不能傾訴什麼事都埋在心裡經常發怒哭泣覺得好累想離開這世界尋找過死的方法請問這是憂鬱嗎還是
2.1,心裡很不好覺得這個世界沒有了我會過的更好經常自殘想過無數次死我是不是病了
2.1,心裡很脆弱壓抑感覺自己都得憂鬱症了怎麼辦
2.1,心裡很煩都不知道自己腦袋在想什麼所以我不想說什麼也不想解釋什麼至於別人是怎麼想的我也不想知道反正惹著我了就打他管他是誰惹急了就一刀子下去愛怎麼怎麼地去吧
2.1,心裡很煩躁 對什麼事情都不感興趣    沒有高興的事情    失眠還有嘔吐
2.1,心裡很壓抑很消極被確認為輕度憂鬱症
2.1,心裡超難受怎麼辦簡直生不如死感覺快窒息了
2.1,心裡煩躁不知道因為什麼事情而不開心不高興總是多想一點小事我就會從頭想到尾
2.1,心裡煩躁天天失眠總是覺得做什麼都是錯的覺得活著太累沒有生存的目標
2.1,心裡煩躁失眠胡思亂想對有些事情內疚尷尬無聊這是怎麼了
2.1,心裡憂鬱的快瘋了 怎麼辦找不到方向 家裡的人也不和 所有信仰不信了覺得過得很苦很苦
2.1,心裡壓力大 經常感到壓抑 壓抑的時候誰說話都覺得煩 誰也不想理
2.1,心裡總是很煩躁沒有動力做什麼都懶心情總是煩躁不安
2.1,心裡總感覺有壓力但是釋放不出來每天心情都很低沉這個該怎樣去打開自己
2.1,心裡嚴重扭曲總是抱怨產後憂鬱症容易急躁
2.1,心態不好腦子也不好使表達能力差說話沒邏輯緊張頭痛沒活力不愛接觸人不愛說話擔心有話說不出到嘴邊的話也說不出
2.1,父母雙亡姐姐不管爺爺奶奶又在外面說閒話
2.1,父親做完骨折手術在療養但是現在很煩躁就是不想在屋裡待下去感覺非常壓抑
2.1,可我真的沒法控制自己經常會覺得很失落經常看著一個地方發呆可以很久
2.1,失眠多夢情緒不穩低落總想哭 太在意別人 做錯事自責情緒很深之前就男生喜歡我 慢慢不喜歡我了我會覺得自身有問題而感覺難受 感覺活的沒有意思
2.1,失眠有半年了情緒不穩定不自信覺得自己做什麼都是錯的測試了憂鬱症重度憂鬱怎麼樣才能調節現在的狀態
2.1,失眠越來越嚴重覺得活著沒有意思做什麼都沒有心情我想知道是怎麼回事是我得了憂鬱症了嗎我在家看孩子三年了沒有人能幫我我怎麼能調節一下
2.1,失眠煩躁並且不喜歡聯繫任何人甚至想乾脆一死了之就好了 不願意與人有太多聯繫時常頭痛
2.1,失眠憂鬱怎麼辦感覺容易動怒
2.1,失眠憂鬱真的可以透過心理諮詢治好嗎發覺自己漸漸適應了憂鬱但不喜歡失眠
2.1,失眠憂鬱焦慮恐懼經常賴床難以自發對什麼事都不感興趣不知何時才能挺過去有時真想死了算了求助
2.1,失眠憂鬱數月不敢吃藥求助該如何自救心理調適
2.1,失戀失去生活信心重度強迫症輕度憂鬱症
2.1,失戀後每天都打不起精神來不願意工作也不願意和人交流感覺自己活的很失敗不知道活著為了什麼
2.1,本人現在中度憂鬱正在吃藥想找點別的方法做輔助治療
2.1,生小孩過後總想哭覺得自己快過不下去了不敢見人覺得自己很沒用
2.1,生完孩子在家帶孩子脾氣暴躁易怒一件事總會朝著不好的方向去考慮
2.1,生完孩子我覺得自己產後憂鬱了不想讓公婆碰寶寶總覺得會搶走我孩子我該怎麼辦
2.1,生完孩子後情緒易怒煩躁愛發脾氣記憶力下降頭痛愛睡覺
2.1,生完寶寶一年開始就一直控制不住自己的情緒脾氣很差生氣的時候呼吸困難身體偶爾會發抖有時候寶寶稍微一有點錯誤我就打他要麼傷害自己
2.1,生完寶寶一個月後 懷疑自己得了憂鬱症 現在感覺生活很沒意思 每天都睡不著飯也吃不下 什麼都不想管每天很煩躁 不知道該怎麼辦了 請問這是憂鬱症嗎 我該怎樣去做才能緩解這種情緒
2.1,生完寶寶後感覺自己有憂鬱症易怒經常和老公吵架已經影響我的正常生活了怎麼辦
2.1,生活壓力大總是想去死又不敢死經常會獨自一個人哭頭還很痛
2.1,由於家庭原因學業原因長年累積的不自信感覺我患上了憂鬱症
2.1,白天睡晚上睡就是哪也不想去老公說話還感覺都沒用的
2.1,再活兩年沒什麼掛念的時候我就可以去死了哈哈
2.1,各位老師你們好我是女過年27歲了每天不想出門對什麼都沒有興趣看到父母吵架更心煩諮詢可以解決嗎
2.1,各位專家們好怎麼讓自己充實起來怎麼讓自己快樂起來我覺得現在的自己悲觀厭世好累
2.1,因為兒子做生意賠錢心裡壓力過大變成憂鬱症開始自殘怎麼紓解心裡壓力
2.1,因為憂鬱導致共情能力降低而在別人向你傾訴時感到煩躁憤怒怎麼辦應該怎樣解決
2.1,在家隔離了一個月這一個月在家生了三場病每天都有想死的感覺我真的這麼沒福氣嘛
2.1,好累好累好累好累好累心真的累才覺得自己腦袋退化了不少
2.1,好幾年了一直感覺身心疲憊嗜睡沒精神對什麼也沒興趣昨天做了憂鬱症測試出重度憂鬱症怎麼辦心靈導師們
2.1,好像得了產後憂鬱 動不動就發脾氣 一點小事也鬧脾氣 完全控制不住自己的脾氣 自己也很糾結很難過 該怎麼辦
2.1,如何知道自己是否是憂鬱症請各位專家指出
2.1,如果得中度憂鬱症該怎麼辦不想讓家人知道
2.1,年幼時期經歷家暴  長期壓抑 是否導致憂鬱症
2.1,早上起來全身無力呼吸不舒服午覺睡不著晚上難入睡精神不好
2.1,有一點負面情緒想改掉反而越來越嚴重怎麼辦家人朋友都沒法溝通
2.1,有老師在嗎我心裡難受壓抑沒有睡眠沒有食慾做什麼都提不起興趣
2.1,有自卑心理 還非常消極 非常怕出去見人 和人來往溝通 不知道該怎麼辦 求安慰
2.1,有自殘傾向總覺得自己很廢物甚麼時候都做不好是不是憂鬱症
2.1,有重度憂鬱跟重度焦慮挺久的了最近這兩樣腦子一陣一陣的我也說不上來感覺這是怎麼了
2.1,有時候心慌胸悶氣短需要長嘆氣才能好點總想一些不開心的事想事情也思想消極總想壞的方面總想哭
2.1,有時候感到很壓抑很迷茫有時覺得自己是個精神病有時還會自責
2.1,有時候感覺自己活著沒意思腦子說話能力減弱
2.1,有時候會莫名難過難過時而敏感時而默然總覺得自己很渣沒有歸屬感愛喝酒
2.1,有時候頭痛情緒低落對任何事都不感興趣不到深夜睡不著覺不願意走出自己的房間無緣無故的哭無緣無故的難過傷心
2.1,有病了老感覺家裡不願意管心裡還想著管管我朋友看不起沒找不到工作身體有異味不知道該怎麼辦很在意別人眼光感覺心裡快承受不了了
2.1,有焦慮和憂鬱伴隨強迫症最近幾個月精神恍惚注意力不集中多夢睡眠障礙負面情緒比較多容易悲觀控制不住地胡思亂想該怎麼辦
2.1,有過自殘輕度憂鬱症戀愛糾結19歲女
2.1,有憂鬱症不想搭理朋友怕她們看不起我老是躲避她們現在好點了但是友誼也不像以前了我怎麼來挽救這段友誼給我個解釋的機會也行
2.1,有憂鬱症怎麼辦快一年了有點討厭自己看到自己和別人都煩沒有自信每天都不開心
2.1,有憂鬱情緒每天晚上只能睡兩個多小時還沒有工作誰能幫幫我
2.1,有點輕微憂鬱和強迫症吃什麼藥好
2.1,有點憂鬱失眠怎麼辦需要看心理醫生嗎還是默默忍著
2.1,有點憂鬱那個症狀來了腦子直接放空了感覺什麼都不能做睡覺倒還能改善一點
2.1,老公在我懷孕生產之間出軌了現在在哺乳期覺得莫名的煩躁壓抑經常失眠我覺得現在有點狂躁症和憂鬱怎麼調節
2.1,老公有了外遇以後明顯感覺對我冷淡雖然他現在們已經分開了我將近一年都重度憂鬱感覺生活無意義了到底要怎麼解決才好
2.1,老是沒有安全感非常愛哭總不喜歡待在婆家總感覺眼淚控制不住
2.1,老是感覺自己渾身無力四肢發軟醫院檢查都好
2.1,老是煩躁想發脾氣找不到原因沒有自信覺得比不過別人有時候還覺得活著真沒意思整天胡思亂想的
2.1,老是覺得心裡煩對生活沒多大信心父母說話太難聽打擊的快沒有奮鬥的慾望了同學的竊竊私語讓我更傷心也很鬱悶好幾個月了老是悶悶不樂
2.1,老師好我的精神狀態不好對什麼都提不起興趣是怎麼回事
2.1,老師我女兒前三年跟老師吵架造成憂鬱症怎麼開導呢
2.1,老師您好我有憂鬱症很難受壓著喘不過氣像塊石頭一樣
2.1,老師您們好您們真的有好的死亡方式嗎我真的不想活了活著沒有意義但是我怕痛如果您們真的有好的死亡方式請告訴我我願意付費諮詢
2.1,老覺得不夠睡然後老覺得自己很失敗經常頭痛經常做夢
2.1,自己現在變的非常消極喜歡孤獨喜歡一個人也不願意和男朋友說話一說話就吵架怎麼辦
2.1,自我角色混亂社會交際恐懼心悸注意力難以集中嚴重的拖延症自律能力非常差較強的自卑感迷茫感找不到生存的意義時不時會出現憂鬱的情況 我該怎麼辦
2.1,自卑無奈而且不想活了怎麼辦感覺沒有價值了
2.1,自卑憂鬱症怎麼辦老是不想活了每天都會哭
2.1,自從引產以後每天吃不下睡不著很敏感老公也沒什麼時候陪我經常和他吵架他說一句什麼我都會很在意的想半天越想越哭也有了輕生的念頭其實就是很黏人
2.1,自從自己知道沒有親生父母的事老覺得自己不該活在這世上常常做夢哭醒
2.1,自責達到一種幾乎不出門的情況求醫生幫忙看下
2.1,自測一下是重度憂鬱我想知道重度憂鬱的症狀感覺沒那麼嚴重是情緒不好還是什麼
2.1,你好 我想問一下怎麼最近工作生活都提不起勁好像什麼事情都不想做一副有氣無力的樣子
2.1,你好 我懷疑老公出軌 心裡非常鬱悶我發現自己都要快得憂鬱症了我想過離婚 但出於我的二寶太小才8個月大 實在於心不忍希望得到幫助
2.1,你好一直有不想活的衝動是對什麼事沒有積極性是怎麼回事
2.1,你好我有憂鬱症史最近又復發了覺得自已像個廢物幹什麼都不行非常想死
2.1,你好我每天莫名其妙的生氣 不開心對自己不滿情緒低落
2.1,你好我是一個高中生學習壓力很大性格不開朗情緒很不好不愛說話而且自己很沒自信感覺很失敗沒有什麼好朋友內心很脆弱不知道該怎麼辦啊
2.1,你好我現在頭腦非常難用反應遲鈍頭痛記憶力差心情壓抑高興不起來老是感覺累沒精神不愛說話目光呆滯體重下降
2.1,你好我產後40天整天心情壓抑感覺像有塊大石頭壓著極度難受不想吃飯
2.1,你好我最近不知道怎麼了心裡難受不由自主就哭了感覺委屈是怎麼回事
2.1,你好我最近心好煩不管遇到什麼高興事都開心不起來難道這世道就沒有什麼公平嗎
2.1,你好我總是情緒低落常常想到死感覺別人一直議論我害怕一個人出門有是還想傷害別人
2.1,你們好我是一名國二學生在家我經常跟我爸吵架又討厭我媽媽現在我在我爸爸家媽媽去外婆那邊住了我每天只能靠打遊戲來消遣時間爸爸每天都罵我我現在我懷疑我患了鬱抑症
2.1,弟弟有嚴重憂鬱這種情況怎麼辦還能正常工作嗎
